混放类型,货品混放,存货日期混放,SOI混放,供应商混放,描述,
混放,是,是,是,是,所有货品，批次混放
不混放,否,否,否,否,所有货品，批次都不混放
货品混放,是,否,否,否,货品可以混放，同货品的批次属性不同不能混放
批次混放,否,是,是,是,货品一样，批次可以不一样
货品混放存货日期不混放,是,否,是,是,不同货品可以混放，同货品的存货日期必须相同
